Credit Note Number,Credit From Invoice,Customer,Special Account Number,Date,Description,Details,Unit Price,Quantity,Net Amount,Tax Amount,Total Amount,Taxable,Stock Number,Stock Name,Inventory Asset Account Code,Inventory Asset Account Name,Sales Account Code,Sales Account Name,Raised By,Tags,Created At,Tracking Category Names,Tracking Category Values,Finalized
CR11,51443,Osborne Contracting,,03/03/2023,scrap- bobcat tyre recycle,,53.0,1.0,53.0,5.3,58.3,Y,,,,,,,Madalyn Kerrison,"",2023-03-03 15:06:05 +1000,"","",Y
CR14,WAN52000,TG Van Itollie,,23/03/2023,TFIT - Truck tyre fitting,,0.09,1.0,0.09,0.009,0.099,Y,TFIT,Truck Tyre Fit & Strip,,,,,Nicola Wise,"",2023-03-23 13:12:52 +1000,"","",Y
CRD15,WAN52097,Scott Otto,,27/03/2023,R1163 - 255/65R17 GO15 114H YOKOHAMA,,395.0,2.0,790.0,79.0,869.0,Y,R1163,255/65R17 GO15 114H YOKOHAMA,,,,,Kieran Smith,"",2023-03-27 11:08:45 +1000,"","",Y
CRD16,WAN51719,PJB Earthworks,,31/03/2023,SVXT-3 - SVXT-3,,95.0,1.0,95.0,9.5,104.5,Y,SVXT-3,SVXT-3,,,,,Kieran Smith,"",2023-03-31 08:21:24 +1000,"","",Y
CR18,WAN52452,J K Backhoe Hire pty ltd,,07/05/2023,SCRAPTT - Recycle Truck Tyres,,30.0,2.0,60.0,6.0,66.0,Y,SCRAPTT,Recycle Truck Tyres,,,,,Troy,"",2023-05-07 11:06:35 +1000,"","",Y
CRD19,WAN52523,Corey Pendergast,,11/05/2023,80172593 - 205/65R15 DC-99 94V DOUBLE COIN,,130.0,1.0,130.0,13.0,143.0,Y,80172593,205/65R15 DC-99 94V DOUBLE COIN,,,,,Madalyn Kerrison,"",2023-05-11 13:19:16 +1000,"","",Y
CRD21,,Amcor Excavations Pty Ltd,,15/06/2023,credit note,,3010.0,1.0,3010.0,301.0,3311.0,Y,,,,,,,Madalyn Kerrison,"",2023-06-15 14:02:53 +1000,"","",Y
CRD22,WAN52886,Ross Stiller Family Trust,,21/06/2023,MF57412 - MF 57412 BATTERY,BATTERY,190.9091,2.0,381.8182,38.1818,420.0,Y,MF57412,MF 57412 BATTERY,,,,,Madalyn Kerrison,"",2023-06-21 07:59:51 +1000,"","",Y
CRD23,WAN52955,WPM Contracting Pty Ltd,,30/06/2023,MECHLAB - Mechanical Tradesman Labour,,110.0,1.0,110.0,11.0,121.0,Y,MECHLAB,Mechanical Tradesman Labour,,,205,Income - Automotive Repairs,Madalyn Kerrison,"",2023-06-30 08:34:39 +1000,"","",Y
CRD24,WAN53008,Qube Energy,,14/07/2023,TTR - Truck Tyre Repair,,66.95,1.0,66.95,6.695,73.645,Y,TTR,Truck Tyre Repair,,,,,Kieran Smith,"",2023-07-14 07:56:46 +1000,"","",Y
CRD24,WAN53008,Qube Energy,,14/07/2023,SCRAP - Recycle charge,,9.4,1.0,9.4,0.94,10.34,Y,SCRAP,Recycle charge,,,,,Kieran Smith,"",2023-07-14 07:56:46 +1000,"","",Y
CRD25,WAN53119,GDRS Group pty ltd,,18/07/2023,SCRAP - Recycle charge,,464.99,2.0,929.98,92.998,1022.978,Y,SCRAP,Recycle charge,,,,,Madalyn Kerrison,"",2023-07-18 12:50:43 +1000,"","",Y
CRD26,51323,Ventia Eastern Well Services NO 2 pty ltd,,07/08/2023,1309BT - 11R22.5 BOTO BT159 148/145 K DEEP TREAD DRIVE,,540.0,4.0,2160.0,216.0,2376.0,Y,1309BT,11R22.5 BT159 148/145 K DEEP TREAD DRIVE BOTO,,,,,Troy,"",2023-08-07 13:10:20 +1000,"","",Y
CRD26,51323,Ventia Eastern Well Services NO 2 pty ltd,,07/08/2023,TFIT - Truck tyre fitting,,33.0,4.0,132.0,13.2,145.2,Y,TFIT,Truck Tyre Fit & Strip,,,,,Troy,"",2023-08-07 13:10:20 +1000,"","",Y
CRD26,51323,Ventia Eastern Well Services NO 2 pty ltd,,07/08/2023,SCRAPTT - Recycle Truck Tyres,,30.0,4.0,120.0,12.0,132.0,Y,SCRAPTT,Recycle Truck Tyres,,,,,Troy,"",2023-08-07 13:10:20 +1000,"","",Y
